entry_date,exit_date,symbol,shares,entry_px,exit_px,ret_pct,pnl_inr,status
2026-01-31,2026-02-28,GODFRYPHLP,2,2035.5,2115.4,3.93,144.0,closed
2026-01-31,2026-02-28,SHRIRAMFIN,4,1014.26,1073.33,5.82,220.0,closed
2026-01-31,2026-02-28,PAYTM,4,1137.5,1098.3,-3.45,-173.0,closed
2026-01-31,2026-02-28,MANAPPURAM,17,283.72,282.8,-0.32,-31.0,closed
2026-01-31,2026-02-28,NYKAA,21,237.5,265.48,11.78,572.0,closed
2026-01-31,2026-02-28,CUMMINSIND,1,4060.21,4858.01,19.65,782.0,closed
2026-01-31,2026-03-31,MUTHOOTFIN,1,3797.49,3133.6,-17.48,-680.0,closed
2026-02-28,2026-03-31,BEL,11,442.81,400.65,-9.52,-480.0,closed
2026-02-28,2026-03-31,VEDL,7,706.6,654.8,-7.33,-379.0,closed
2026-02-28,2026-03-31,BSE,1,2699.99,2676.45,-0.87,-39.0,closed
2026-01-31,2026-04-30,CANBK,35,142.71,130.35,-8.66,-449.0,closed
2026-01-31,2026-04-30,AUBANK,5,982.35,1015.95,3.42,152.0,closed
2026-01-31,2026-04-30,NAM-INDIA,5,868.62,999.04,15.02,636.0,closed
2026-02-28,2026-04-30,BANKINDIA,30,170.48,135.45,-20.55,-1067.0,closed
2026-02-28,2026-04-30,DELHIVERY,11,433.4,467.05,7.76,354.0,closed
2026-03-31,2026-04-30,KEI,1,4038.0,4857.5,20.29,804.0,closed
2026-03-31,2026-04-30,UNIONBANK,29,159.49,161.18,1.06,33.0,closed
2026-01-31,2026-05-31,ASHOKLEY,25,193.39,152.83,-20.97,-1030.0,closed
2026-01-31,2026-05-31,INDIANB,5,892.68,815.62,-8.63,-401.0,closed
2026-04-30,2026-05-31,VEDL,18,271.55,352.6,29.85,1443.0,closed
2026-04-30,2026-05-31,TATASTEEL,24,207.09,203.82,-1.58,-94.0,closed
2026-01-31,2026-06-30,ABCAPITAL,14,339.8,391.95,15.35,714.0,closed
2026-01-31,2026-06-30,RBLBANK,16,298.75,369.05,23.53,1109.0,closed
2026-03-31,2026-06-30,SHRIRAMFIN,5,867.19,1036.29,19.5,830.0,closed
2026-04-30,2026-06-30,GLENMARK,2,2406.3,2204.3,-8.39,-420.0,closed
2026-04-30,2026-06-30,MUTHOOTFIN,1,3424.2,2997.3,-12.47,-443.0,closed
2026-05-31,2026-06-30,AUBANK,5,984.7,1037.05,5.32,246.0,closed
2026-01-31,,LAURUSLABS,5,964.04,1781.3,84.77,4086.0,open
2026-01-31,,GVT&D,1,3230.3,4202.3,30.09,972.0,open
2026-04-30,,BHARATFORG,2,1875.91,2164.7,15.39,578.0,open
2026-05-31,,ADANIENSOL,3,1513.3,1659.0,9.63,437.0,open
2026-01-31,,LTF,17,283.43,306.25,8.05,388.0,open
2026-01-31,,MCX,1,2528.0,2677.0,5.89,149.0,open
2026-06-30,,HINDZINC,9,533.15,535.9,0.52,25.0,open
2026-06-30,,MOTHERSON,35,147.85,146.72,-0.77,-40.0,open
2026-06-30,,NAM-INDIA,4,1162.0,1146.9,-1.3,-60.0,open
2026-06-30,,BHEL,12,412.77,403.0,-2.37,-117.0,open
2026-04-30,,HINDALCO,4,1032.61,970.4,-6.02,-249.0,open
2026-04-30,,ADANIPOWER,23,221.85,208.97,-5.81,-296.0,open
2026-06-30,,BSE,1,3855.44,3530.3,-8.43,-325.0,open
2026-06-30,,ADANIGREEN,3,1492.2,1358.7,-8.95,-400.0,open
2026-01-31,,NATIONALUM,13,378.8,347.65,-8.22,-405.0,open
2026-05-31,,IDEA,382,13.99,12.87,-8.01,-428.0,open
2026-05-31,,SAIL,26,204.37,169.05,-17.28,-918.0,open
