entry_date,exit_date,symbol,entry_px,exit_px,ret_pct
2026-07-30,2026-09-02,IDEA,12.87,14.53,12.90
2026-07-30,2026-09-02,GVT&D,4202.30,4240.00,0.90
2026-07-30,2026-09-02,ADANIPOWER,208.97,207.70,-0.61
2026-07-30,2026-09-02,MCX,2677.00,3286.00,22.75
2026-07-30,2026-09-02,ADANIENSOL,1659.00,1396.60,-15.82
2026-07-30,2026-09-02,NATIONALUM,347.65,370.00,6.43
2026-07-30,2026-09-02,POWERINDIA,31250.00,32200.00,3.04
2026-07-30,2026-09-02,BHARATFORG,2164.70,2031.80,-6.14
2026-07-30,2026-09-02,BHEL,403.00,427.50,6.08
2026-07-30,2026-09-02,LAURUSLABS,1781.30,1864.00,4.64
2026-07-30,2026-09-02,SHRIRAMFIN,1027.20,1047.00,1.93
2026-07-30,2026-09-02,FEDERALBNK,354.15,353.35,-0.23
2026-07-30,2026-09-02,CUMMINSIND,5396.00,5088.50,-5.70
2026-07-30,2026-09-02,BSE,3530.30,3168.00,-10.26
2026-07-30,2026-09-02,LTF,306.25,312.80,2.14
2026-07-30,2026-09-02,ABCAPITAL,394.05,397.05,0.76
2026-07-30,2026-09-02,NAM-INDIA,1146.90,1171.50,2.14
2026-07-30,2026-09-02,ADANIGREEN,1358.70,1296.00,-4.61
2026-07-30,2026-09-02,CGPOWER,832.60,877.75,5.42
2026-07-30,2026-09-02,NYKAA,333.75,337.40,1.09
